neuron_id,x_um,y_um,theta0_deg,f0_cpd,sigma_x_deg,sigma_y_deg,phase_rad,gain,baseline,gamma,azimuth_deg,elevation_deg,retino_jitter_az_deg,retino_jitter_el_deg
0,386.97802427798166,219.43921987602616,42.77850540490752,0.0899406956501216,3.5099016235005167,1.4803512753222636,3.535375022879263,0.948994565673639,0.05,1.25,3.3746631359513186,2.6784750477099997,0.8739828629815605,2.5984674081149164
1,429.2989599556912,348.684014529682,153.50060333374427,0.05534731656299986,2.795053462320029,0.9881012031231003,4.747194952262225,1.1025576851260204,0.05,1.25,4.635727243925903,2.3776664035776047,1.7661178334665406,0.6586300183943643
2,47.088673943824766,487.811175818378,62.64565621371258,0.063065016717519,2.378777894590784,1.548900080714438,1.6174324048278972,1.4194884621061483,0.05,1.25,-1.6489004233690592,2.7811306232930653,2.615901789251688,0.6584897381074482
3,380.56985099517647,393.03215263847693,153.6020408059307,0.05635381799420835,2.8277229013246648,0.9262702610675332,5.194874038228016,1.0463715934974862,0.05,1.25,3.1245480280702567,1.6353806740787573,1.2419822651955883,-0.44485643030206257
4,64.05681633777294,225.19296894778356,53.809857201403,0.04919197466335953,1.2496491739283273,1.0657879669788242,5.827684906333777,0.7962350038167023,0.05,1.25,-3.1018116929241333,-1.9263828502027012,0.09981872378880724,-1.0461357349504152
5,185.3990121162906,463.3824944243009,106.25764515896682,0.030325781541082425,2.8611764291641317,1.8008441576144647,3.753540527666224,1.2288843995672365,0.05,1.25,-0.2741375344637773,0.5108086078716101,1.4843759018922795,-1.7674554346722984
6,321.93256004033225,411.380806635415,71.44921219461014,0.05061533798268691,1.044364157727057,1.6038697535858915,4.203122102248074,1.2589621443735715,0.05,1.25,1.970276022728695,1.8213099634371608,1.173525513626492,-0.2859765862577392
7,221.70709941366556,113.61936089238844,49.468509135912065,0.03648784327212354,1.6898598443794952,1.8855392172479335,0.3303446899082377,1.1778195405514738,0.05,1.25,1.6556990591305452,-0.5511623159913508,1.756870640200979,1.1263034830968897
8,277.2923935079174,31.90862805208766,159.58036119093646,0.027650937651077557,2.9108746273830475,1.2146374880710495,5.940876686914886,1.2048736740469377,0.05,1.25,3.846309485097518,-1.3555935970953772,2.7309692364702025,1.0961620367079672
9,413.815585996291,315.83219956103244,33.76686274910844,0.07285747847948502,2.929681691294845,0.9746294360164379,2.466054315625779,0.9345108585298201,0.05,1.25,0.33456244491766984,1.1869595611092705,-2.3580603834798612,-0.10042975934730125
10,379.04387004268693,177.2629840649342,15.266086422437358,0.06820574154588784,1.9443043452680617,1.2241600865462796,5.805037422004379,0.792750058489918,0.05,1.25,0.7257406083510125,-1.213580604327618,-1.7580107888922238,-0.777419763549412
11,485.34901219745166,446.56056066109886,61.546848938218865,0.02058667566163419,2.175994789713514,1.333586712506799,3.6378230766979294,0.8048910457161995,0.05,1.25,5.838410599791334,3.9929137911715387,2.266842649915082,0.956300716346544
12,389.19174853688094,97.31935392598379,129.17504657548216,0.05141123018110032,3.6625026290818266,1.3259264777103374,0.029020769029214105,0.6644033812256009,0.05,1.25,1.8467229827767122,-2.854996366197851,-1.0483956428681194,-1.5205760496605984
13,233.3605018635171,21.90188289361439,145.3376890757307,0.09510380197676768,2.3036709415690164,1.7259616685467565,0.24216652385833684,1.0610268364825641,0.05,1.25,0.4201469188804171,-4.532823429964159,0.049173139314391184,-1.8248402240716917
14,77.14474603377391,341.52447662122734,179.77380661201767,0.09848519591717252,4.555072846038558,1.1877332494363353,4.275197442513936,0.9793539143470957,0.05,1.25,-4.31651967263563,0.983494118972544,-1.0067104160948717,0.4680142073268658
15,372.3810779539086,483.754866217105,53.34517026200969,0.0966932357196178,2.5987523948616613,1.4195967925991573,3.535347397328722,0.8958368889762596,0.05,1.25,3.2072845215159456,4.02333886045791,1.7329680541600443,0.9131422083366596
16,162.91267906907598,185.22985301743444,73.4295512036308,0.05618981142129158,2.8792230667026257,1.0153236991896812,0.16670821961687132,0.4776367817827065,0.05,1.25,-4.781720244478439,-0.5744006203057825,-3.43693426289715,0.45655009354538967
17,234.77790563790396,94.73567954214285,24.627830045332733,0.03455520723753303,3.8951416455333994,1.4549093321065971,4.671296704828796,0.7321064387789952,0.05,1.25,0.29197791189805483,-1.2348567261745773,0.10805035984886688,0.6208354280590396
18,64.96075266773582,237.85246311296686,103.47694733214604,0.03030457921139866,2.6865778905255686,1.3010106714748413,5.354187061454678,1.3234079142930915,0.05,1.25,-0.7982493932084127,-3.8248731040731467,2.424314522476811,-3.094857415207114
19,113.45467452544206,334.9069973412552,179.5644067073251,0.06647765544451316,2.023695812481846,1.0777881479071632,3.1190830318897422,0.8469136818128754,0.05,1.25,-3.5379060261777675,1.4403158821969184,-0.8866551377866584,0.886359484190032
20,218.57595943616536,416.3390980289187,126.15858182171853,0.06775763886191592,2.529646531486018,1.2255710809850362,2.9264403059622768,1.0943361452952407,0.05,1.25,-3.409837700756802,4.050142020147211,-2.3723915991809132,2.2139235720802635
21,350.13255100112457,156.18332069102053,107.13831127440692,0.11164958894219959,2.5769557515109494,1.2415000023248346,0.034388557014326186,0.7063309684542773,0.05,1.25,2.588612562267409,0.4963804556073531,0.5525349190509876,1.269875978765106
22,416.12990069760053,402.3821787484009,70.62643672592291,0.10071774421800667,1.8484104101498546,1.215098911514865,4.942665915436828,1.4328656220597895,0.05,1.25,1.6250281456353315,3.5228347919498373,-0.8564154922826919,1.2206455349493157
23,193.73918951508722,144.16405196512204,164.75377685139986,0.05114206887358751,2.43891538757835,2.0242506345019207,2.077950331427353,0.964633623005371,0.05,1.25,0.9202059844159832,-1.0615771832213654,1.6027073339835574,0.34931703020575255
